feature,verdict,auc_train,auc_holdout,delta,auc_train_lo,auc_train_hi,auc_holdout_lo,auc_holdout_hi,dxy_train,dxy_holdout,iv_train,iv_holdout,woe_rho,woe_flip_mass,p_delong,unstable,n_train,n_holdout,null_rate_train,null_rate_holdout,note,p_delong_bh
V12,pass,0.5622,0.6144,0.0522,0.5513,0.573,0.6061,0.6226,-0.0567,-0.2278,0.1042,0.2605,0.6,0.0894,5.8383685499975e-14,FALSE,100392,100393,0.3095,0.0815,"",9.69169179299584e-14
V62,pass,0.5573,0.5118,-0.0455,0.5466,0.5679,0.5034,0.5201,0.1148,0.1174,0.1078,0.2014,-0.7167,0.089,4.47786359739394e-11,TRUE,100392,100393,0.3026,0.087,"",7.03462483123717e-11
D4,pass,0.5982,0.5632,-0.0349,0.588,0.6084,0.5549,0.5716,-0.1195,-0.2122,0.1401,0.212,0.5357,0.0888,2.03446773227596e-07,TRUE,100392,100393,0.4617,0.2463,"",2.76066738603114e-07
V72,pass,0.6059,0.6943,0.0884,0.5946,0.6172,0.6856,0.7029,0.2561,0.3498,0.2745,0.6855,-0.159,0.0883,3.92350460419123e-34,FALSE,100392,100393,0.3026,0.087,"",8.27925971562386e-34
V58,pass,0.615,0.7048,0.0898,0.6037,0.6263,0.6961,0.7134,0.2767,0.3677,0.3297,0.7785,-0.2594,0.0882,4.56929266510904e-35,FALSE,100392,100393,0.3026,0.087,"",9.8082230483806e-35
V53,pass,0.5742,0.6294,0.0552,0.5633,0.5851,0.6212,0.6376,-0.0819,-0.2208,0.1309,0.3473,0.3,0.0877,2.17708922216922e-15,FALSE,100392,100393,0.3026,0.087,"",3.68772256000093e-15
V70,pass,0.6559,0.6172,-0.0387,0.648,0.6638,0.6109,0.6234,-0.3033,-0.2936,0.4826,0.5828,0.25,0.0874,4.39913961485435e-14,TRUE,100392,100393,0.3026,0.087,"",7.32699507758351e-14
V69,pass,0.6546,0.6167,-0.0379,0.6467,0.6625,0.6105,0.6229,-0.301,-0.2926,0.4744,0.5766,0.8286,0.0871,1.53829331591574e-13,TRUE,100392,100393,0.3026,0.087,"",2.5282840637823e-13
V54,pass,0.5727,0.6308,0.0581,0.5616,0.5837,0.6226,0.639,-0.0639,-0.2097,0.114,0.3513,0.2571,0.087,1.11034600197951e-16,FALSE,100392,100393,0.3026,0.087,"",1.91997329508958e-16
V57,pass,0.6125,0.7043,0.0918,0.6012,0.6237,0.6957,0.713,0.2702,0.3665,0.3022,0.7607,0.6687,0.087,7.93300627004297e-37,FALSE,100392,100393,0.3026,0.087,"",1.75583872110285e-36
V59,pass,0.5913,0.693,0.1017,0.5801,0.6025,0.6844,0.7016,0.2261,0.3461,0.221,0.6763,0.4603,0.087,4.88358745144906e-45,FALSE,100392,100393,0.3026,0.087,"",1.20397354001071e-44
V60,pass,0.5964,0.6935,0.0971,0.5851,0.6076,0.6849,0.7021,0.2375,0.3463,0.2442,0.6638,0.4863,0.087,5.11576687621102e-41,FALSE,100392,100393,0.3026,0.087,"",1.17946847423754e-40
V63,pass,0.5866,0.6917,0.1051,0.5755,0.5978,0.6831,0.7003,0.2169,0.3419,0.2071,0.6551,0.0714,0.087,3.87270189469824e-48,FALSE,100392,100393,0.3026,0.087,"",1.02042621352366e-47
V64,pass,0.5916,0.6915,0.0999,0.5804,0.6028,0.6829,0.7001,0.2277,0.3413,0.2278,0.6466,0.7143,0.087,1.66605532310336e-43,FALSE,100392,100393,0.3026,0.087,"",3.96983517179653e-43
V71,pass,0.6034,0.6936,0.0902,0.5921,0.6146,0.6849,0.7022,0.2492,0.3481,0.2505,0.6662,0.8503,0.087,9.52228505620443e-36,FALSE,100392,100393,0.3026,0.087,"",2.06178172086513e-35
