feature,verdict,auc_train,auc_holdout,delta,auc_train_lo,auc_train_hi,auc_holdout_lo,auc_holdout_hi,dxy_train,dxy_holdout,iv_train,iv_holdout,woe_rho,woe_flip_mass,p_delong,unstable,n_train,n_holdout,null_rate_train,null_rate_holdout,note,p_delong_bh
C1,pass,0.6689,0.6242,-0.0448,0.6584,0.6795,0.6145,0.6339,0.339,0.2347,0.419,0.2496,1,0,9.26653389641775e-10,TRUE,100392,100393,0,0,"",1.39840420618668e-09
C10,pass,0.5784,0.682,0.1036,0.5687,0.5881,0.6736,0.6904,0.2595,0.3939,0.1002,0.6141,,0,4.84790140478657e-56,FALSE,100392,100393,0,0,"",1.59884430436007e-55
C12,pass,0.6396,0.6622,0.0225,0.6301,0.6491,0.6537,0.6706,0.2977,0.3673,0.4643,0.4723,,0,0.000486882619703146,FALSE,100392,100393,0,0,"",0.000584259143643776
C2,pass,0.6815,0.6271,-0.0544,0.6711,0.6918,0.6173,0.6368,0.3595,0.2598,0.4832,0.2712,0.9,0,7.35984857105202e-14,TRUE,100392,100393,0,0,"",1.21767594298469e-13
C4,pass,0.6153,0.6891,0.0738,0.6056,0.625,0.6807,0.6975,0.3143,0.4074,0.2189,0.6499,,0,1.14491742265974e-29,FALSE,100392,100393,0,0,"",2.28983484531947e-29
C5,pass,0.6105,0.6459,0.0354,0.6051,0.6158,0.6406,0.6513,-0.2201,-0.2874,0.3596,0.5025,1,0,3.8385036693632e-20,FALSE,100392,100393,0,0,"",6.97655046475501e-20
C6,pass,0.6336,0.5558,-0.0778,0.6228,0.6444,0.5462,0.5654,0.2666,0.1134,0.297,0.0684,0.8,0,5.60821487164031e-26,TRUE,100392,100393,0,0,"",1.10390948856793e-25
C7,pass,0.6396,0.6566,0.017,0.6301,0.649,0.6483,0.6648,0.2959,0.3275,0.4654,0.592,,0,0.00794145984450942,FALSE,100392,100393,0,0,"",0.00882778348786984
C8,pass,0.5797,0.6897,0.11,0.57,0.5894,0.6813,0.6981,0.2707,0.4133,0.1032,0.6554,,0,1.57159144131452e-63,FALSE,100392,100393,0,0,"",6.86537313837396e-63
C9,pass,0.5699,0.6858,0.1159,0.5601,0.5798,0.6766,0.6951,-0.1236,-0.344,0.0756,0.6072,0.4,0,2.02483648192432e-63,FALSE,100392,100393,0,0,"",8.61853476921634e-63
D1,pass,0.5785,0.615,0.0366,0.5692,0.5878,0.6077,0.6224,-0.0521,-0.2533,0.1095,0.3088,0.9,0,1.51023618426549e-09,FALSE,100392,100393,0,4e-04,"",2.25855141070335e-09
D11,pass,0.5564,0.7011,0.1448,0.549,0.5638,0.6931,0.7092,-0.1215,-0.1678,0.0963,0.6048,0.7857,0,1.53392532681026e-148,FALSE,100392,100393,0.7124,0.2839,"",1.90973703187878e-146
D11n,pass,0.5577,0.6876,0.1299,0.5504,0.5651,0.6794,0.6958,0.1361,0.2128,0.1016,0.5972,0.3364,0,4.27696337113007e-118,FALSE,100392,100393,0.7124,0.2839,"",3.04275394117539e-116
D12,pass,0.6298,0.6575,0.0277,0.6204,0.6393,0.6492,0.6658,0.1739,0.094,0.463,0.5966,1,0,1.62579339100552e-05,FALSE,100392,100393,0.8946,0.8955,"",2.08134989388367e-05
D14,pass,0.6098,0.6385,0.0288,0.6006,0.619,0.6304,0.6467,0.0996,-0.0132,0.3176,0.4924,0.8,0,4.52580697503961e-06,FALSE,100392,100393,0.888,0.8913,"",5.9156217154061e-06
D5,pass,0.6496,0.6764,0.0268,0.6395,0.6596,0.6678,0.685,-0.4605,-0.4822,0.3968,0.4682,0.8667,0,6.91624162639524e-05,FALSE,100392,100393,0.6532,0.472,"",8.65399077875585e-05
D6,pass,0.6161,0.655,0.0389,0.6067,0.6255,0.6467,0.6633,0.1243,-0.045,0.3277,0.5632,0.8,0,1.394676367156e-09,FALSE,100392,100393,0.8721,0.8705,"",2.092014550734e-09
DeviceType,pass,0.592,0.6904,0.0985,0.5813,0.6027,0.6818,0.6991,,,0.141,0.6431,1,0,1.26443245103211e-44,FALSE,100392,100393,0.5965,0.7984,"",3.04196792567145e-44
DeviceType_is_desktop,pass,0.592,0.6904,0.0985,0.5813,0.6027,0.6818,0.6991,-0.1568,-0.1112,0.141,0.6431,1,0,1.26443245103211e-44,FALSE,100392,100393,0.5965,0.7984,"",3.04196792567145e-44
DeviceType_is_mobile,pass,0.592,0.6904,0.0985,0.5813,0.6027,0.6818,0.6991,0.1568,0.1112,0.141,0.6431,1,0,1.26443245103211e-44,FALSE,100392,100393,0.5965,0.7984,"",3.04196792567145e-44
M4_is_M1,pass,0.6777,0.6271,-0.0506,0.6686,0.6868,0.619,0.6351,-0.0918,-0.086,0.5067,0.2564,1,0,2.79109208007073e-16,TRUE,100392,100393,0.5766,0.4579,"",4.79297881336285e-16
M6,pass,0.5899,0.6884,0.0985,0.5805,0.5992,0.6794,0.6974,-0.1556,-0.0531,0.1353,0.5736,1,0,5.27672538569783e-50,FALSE,100392,100393,0.4564,0.2414,"",1.46804985590923e-49
M7,pass,0.5413,0.6459,0.1046,0.536,0.5467,0.6376,0.6542,-0.0544,0.0046,0.0698,0.3547,0.5,0,6.56506223185907e-96,FALSE,100392,100393,0.84,0.3873,"",1.92317705380342e-94
M8,pass,0.5415,0.653,0.1115,0.5362,0.5469,0.6449,0.6612,-0.0844,-0.0645,0.07,0.3639,1,0,4.85401999052213e-111,FALSE,100392,100393,0.84,0.3872,"",2.68589106142224e-109
M9,pass,0.5412,0.6548,0.1136,0.5358,0.5465,0.6467,0.6628,-0.0271,-0.0811,0.0668,0.3737,1,0,5.35121587237631e-117,FALSE,100392,100393,0.84,0.3872,"",3.33113188055425e-115
ProductCD_is_C,pass,0.6412,0.6566,0.0154,0.6317,0.6506,0.6483,0.6648,0.2823,0.3131,0.4739,0.5924,,0,0.01627414779533,FALSE,100392,100393,0,0,"",0.0177730824606894
ProductCD_is_W,pass,0.5812,0.6895,0.1083,0.5716,0.5908,0.6811,0.6978,-0.1624,-0.3789,0.1078,0.6477,,0,3.45442979488327e-62,FALSE,100392,100393,0,0,"",1.36532225226339e-61
V1,pass,0.5517,0.6738,0.1221,0.544,0.5594,0.6655,0.682,2e-04,0,0.0606,0.5123,1,0,3.10023360045892e-100,FALSE,100392,100393,0.7124,0.2839,"",1.28659694419045e-98
V100,pass,0.5261,0.4966,-0.0295,0.5187,0.5336,0.49,0.5032,0.0534,-0.0075,0.0223,0.0013,,0,6.40444215944144e-09,TRUE,100392,100393,0,7e-04,"",9.32576665322174e-09
V103,pass,0.5972,0.5882,-0.009,0.5887,0.6058,0.5812,0.5952,0.192,0.1467,0.3109,0.2976,0.5123,0,0.109569582468313,FALSE,100392,100393,0,7e-04,"",0.115605195061907
V108,pass,0.5193,0.5121,-0.0072,0.5155,0.5231,0.5092,0.515,0.0386,0.0245,0.1338,0.0547,1,0,0.00329199134366815,FALSE,100392,100393,0,7e-04,"",0.00373442298211102
V109,pass,0.5215,0.5132,-0.0083,0.5173,0.5257,0.5097,0.5167,0.043,0.0257,0.1155,0.032,0.8,0,0.00293483303495492,FALSE,100392,100393,0,7e-04,"",0.00334450080413627
V11,pass,0.5598,0.7089,0.1491,0.5527,0.5669,0.7014,0.7163,-0.2861,-0.2424,0.1669,0.6847,0.4857,0,7.91610830830217e-177,FALSE,100392,100393,0.7124,0.2839,"",1.97111096876724e-174
V110,pass,0.5193,0.5126,-0.0068,0.5154,0.5232,0.5095,0.5157,0.0387,0.025,0.119,0.0422,0.8,0,0.00800917103163043,FALSE,100392,100393,0,7e-04,"",0.00888322310412462
V111,pass,0.522,0.514,-0.0079,0.5179,0.526,0.5111,0.5169,0.0439,0.0283,0.1755,0.0888,1,0,0.00168405331633745,FALSE,100392,100393,0,7e-04,"",0.00196407154926475
V112,pass,0.5234,0.5137,-0.0097,0.5193,0.5276,0.5107,0.5167,0.0469,0.0268,0.1697,0.0645,1,0,0.000213259377152619,FALSE,100392,100393,0,7e-04,"",0.000258401873046239
V113,pass,0.5228,0.514,-0.0088,0.5187,0.5269,0.511,0.5169,0.0456,0.0278,0.1767,0.0781,1,0,0.000603324562208779,FALSE,100392,100393,0,7e-04,"",0.000715370552333266
V114,pass,0.5199,0.521,0.0011,0.5159,0.5239,0.5173,0.5248,0.0398,0.0424,0.103,0.08,0.6,0,0.692183501966245,FALSE,100392,100393,0,7e-04,"",0.703484457100388
V115,pass,0.5213,0.5161,-0.0052,0.5167,0.5258,0.5117,0.5205,0.0426,0.0316,0.0739,0.0297,0.7,0,0.107980149813996,FALSE,100392,100393,0,7e-04,"",0.114170094707792
V116,pass,0.5202,0.5207,6e-04,0.516,0.5244,0.5167,0.5248,0.0404,0.0414,0.0923,0.0586,0.6,0,0.85221359697583,FALSE,100392,100393,0,7e-04,"",0.857378527866593
V117,pass,0.5059,0.5022,-0.0036,0.5037,0.508,0.5009,0.5036,0.0117,0.0047,0.0353,0.0106,,0,0.00501463074346042,FALSE,100392,100393,0,7e-04,"",0.00563721469580878
V118,pass,0.5059,0.502,-0.004,0.5037,0.5081,0.5006,0.5033,0.0118,0.0032,0.0323,0.0047,,0,0.00245799598091078,FALSE,100392,100393,0,7e-04,"",0.00282697921130154
V119,pass,0.506,0.5022,-0.0038,0.5038,0.5082,0.5009,0.5036,0.012,0.0043,0.0355,0.0085,,0,0.00382331086597688,FALSE,100392,100393,0,7e-04,"",0.00432446012844537
V121,pass,0.5067,0.5015,-0.0052,0.5043,0.5091,0.4998,0.5032,0.0133,0.0022,0.0332,0.0017,1,0,0.000525885063350079,FALSE,100392,100393,0,7e-04,"",0.000629545099875816
V122,pass,0.5071,0.5015,-0.0056,0.5047,0.5095,0.5001,0.503,0.0143,0.0029,0.042,0.0031,,0,8.65273007618352e-05,FALSE,100392,100393,0,7e-04,"",0.000107726489448485
V123,pass,0.5419,0.5385,-0.0035,0.536,0.5479,0.5333,0.5437,0.0839,0.0773,0.2242,0.1449,0.7857,0,0.390411407857774,FALSE,100392,100393,0,7e-04,"",0.402535985741556
V125,pass,0.5427,0.5311,-0.0116,0.5365,0.549,0.5256,0.5366,0.0855,0.0621,0.2088,0.0819,0.9286,0,0.00627907634924162,FALSE,100392,100393,0,7e-04,"",0.00702692139757827
V126,pass,0.5682,0.5466,-0.0216,0.56,0.5765,0.5397,0.5535,0.1751,0.1305,0.1427,0.0645,,0,8.00927276203279e-05,TRUE,100392,100393,0,7e-04,"",9.9965359285522e-05
V128,pass,0.5894,0.5576,-0.0318,0.5798,0.5991,0.5492,0.5661,0.1857,0.117,0.1623,0.0607,1,0,1.16500252803064e-06,TRUE,100392,100393,0,7e-04,"",1.5471233572247e-06
V131,pass,0.5297,0.5035,-0.0262,0.5226,0.5368,0.4971,0.5098,0.0562,-0.0041,0.0328,0.0012,,0,7.18514536539527e-08,TRUE,100392,100393,0,7e-04,"",9.99497874851074e-08
V169,pass,0.5672,0.6863,0.1191,0.5571,0.5773,0.6778,0.6947,0.0547,0.0372,0.1008,0.7041,0.5716,0,7.68736946677564e-70,FALSE,100392,100393,0.6035,0.7986,"",3.90643876985129e-69
V173,pass,0.5636,0.6856,0.122,0.5538,0.5734,0.6772,0.694,-0.0074,-0.0129,0.0694,0.6307,1,0,3.27707963658942e-76,FALSE,100392,100393,0.6035,0.7983,"",2.29857135073455e-75
V174,pass,0.5659,0.6827,0.1168,0.5558,0.576,0.6743,0.6911,0.0393,-0.0554,0.0735,0.6406,0.7143,0,4.09767782285253e-68,FALSE,100392,100393,0.6035,0.7986,"",1.96215726517361e-67
V184,pass,0.5753,0.6916,0.1162,0.5648,0.5859,0.6829,0.7002,0.1348,0.1425,0.1508,0.7322,0.3576,0,8.8784771041219e-63,FALSE,100392,100393,0.6035,0.7986,"",3.65411702301877e-62
V188,pass,0.5616,0.6864,0.1248,0.5517,0.5715,0.6779,0.6948,0.2856,0.3133,0.0615,0.6307,1,0,6.07402394573933e-79,FALSE,100392,100393,0.6035,0.7986,"",5.93110573525135e-78
V189,pass,0.5617,0.6867,0.125,0.5519,0.5716,0.6783,0.6952,0.3076,0.3496,0.0615,0.6344,1,0,3.76563533401085e-79,FALSE,100392,100393,0.6035,0.7986,"",3.98997105603703e-78
V192,pass,0.5788,0.6936,0.1148,0.5683,0.5894,0.6849,0.7023,0.1486,0.1678,0.3212,0.8585,0.9273,0,5.72985975921312e-61,FALSE,100392,100393,0.6035,0.7983,"",2.16171981824859e-60
V193,pass,0.5773,0.6928,0.1155,0.5668,0.5878,0.6841,0.7014,0.1338,0.1518,0.2832,0.8474,0.9524,0,3.21155758320792e-62,FALSE,100392,100393,0.6035,0.7983,"",1.27948454115004e-61
V194,pass,0.574,0.6907,0.1167,0.5636,0.5845,0.6821,0.6994,0.1103,0.1699,0.3079,0.9225,0.7857,0,6.28396502552917e-64,FALSE,100392,100393,0.6035,0.7986,"",2.79412016313708e-63
V195,pass,0.576,0.6911,0.1152,0.5655,0.5865,0.6825,0.6998,0.1304,0.1888,0.3547,0.9282,0.9152,0,1.46658585686943e-61,FALSE,100392,100393,0.6035,0.7986,"",5.66170354047268e-61
V197,pass,0.5799,0.6876,0.1078,0.5692,0.5906,0.6791,0.6962,0.1626,0.1207,0.4062,0.8357,0.9,0,1.19533694645647e-53,FALSE,100392,100393,0.6035,0.7986,"",3.74388553041083e-53
V198,pass,0.5617,0.6867,0.125,0.5519,0.5716,0.6783,0.6952,0.1739,0.1282,0.0615,0.6344,1,0,3.76563533401085e-79,FALSE,100392,100393,0.6035,0.7986,"",3.98997105603703e-78
V200,pass,0.5616,0.6864,0.1248,0.5517,0.5715,0.6779,0.6948,0.3556,0.4287,0.0615,0.6307,1,0,6.07402394573933e-79,FALSE,100392,100393,0.6035,0.7986,"",5.93110573525135e-78
V201,pass,0.5617,0.6867,0.125,0.5519,0.5716,0.6783,0.6952,0.3666,0.4748,0.0615,0.6344,1,0,3.76563533401085e-79,FALSE,100392,100393,0.6035,0.7986,"",3.98997105603703e-78
V202,pass,0.581,0.6917,0.1107,0.5702,0.5918,0.683,0.7003,0.3307,0.261,0.1809,0.6638,1,0,1.56061399504306e-55,FALSE,100392,100393,0.6035,0.7983,"",5.11306427323319e-55
V220,pass,0.559,0.6874,0.1285,0.5488,0.5691,0.679,0.6959,0.0574,0.0365,0.0899,0.6706,0.3735,0,7.09816798705966e-81,FALSE,100392,100393,0.5947,0.7961,"",8.83721914388927e-80
V223,pass,0.5532,0.6779,0.1247,0.5433,0.5632,0.6695,0.6864,0.0155,0.0025,0.0524,0.6133,0.9429,0,3.39270951507848e-78,FALSE,100392,100393,0.6154,0.8228,"",2.81594889751514e-77
V224,pass,0.5561,0.6761,0.12,0.5458,0.5663,0.6676,0.6846,0.067,0.024,0.0576,0.589,1,0,5.6634962478562e-70,FALSE,100392,100393,0.6154,0.8228,"",2.90765065096123e-69
V234,pass,0.5679,0.6908,0.1229,0.5573,0.5785,0.6822,0.6994,0.1424,0.0785,0.1114,0.6469,1,0,1.90533778226612e-69,FALSE,100392,100393,0.5947,0.7961,"",9.48858215568528e-69
V237,pass,0.5634,0.6801,0.1167,0.5529,0.5739,0.6715,0.6888,0.1467,0.128,0.1307,0.6608,0.2148,0,3.32657213280158e-63,FALSE,100392,100393,0.6154,0.8228,"",1.39212850599596e-62
V238,pass,0.5664,0.6917,0.1254,0.5558,0.5769,0.6831,0.7003,0.129,0.1177,0.1428,0.7142,0.3814,0,5.08497630931173e-73,FALSE,100392,100393,0.5947,0.7961,"",3.37642426938299e-72
V239,pass,0.5686,0.6934,0.1248,0.558,0.5792,0.6848,0.7021,0.1511,0.1479,0.1658,0.7338,0.523,0,2.62978652557664e-71,FALSE,100392,100393,0.5947,0.7961,"",1.47149852779457e-70
V241,pass,0.5497,0.6749,0.1251,0.5399,0.5595,0.6664,0.6833,-3e-04,0.0016,0.0417,0.5895,1,0,2.24242591707654e-80,FALSE,100392,100393,0.6154,0.8228,"",2.72372708952224e-79
V245,pass,0.5577,0.6846,0.1269,0.5475,0.5679,0.6762,0.6931,0.2139,0.1671,0.0517,0.6283,0.5,0,1.64429195618214e-78,FALSE,100392,100393,0.5947,0.7961,"",1.38789388843849e-77
V247,pass,0.5639,0.6806,0.1167,0.5534,0.5744,0.672,0.6892,0.1531,0.1366,0.2928,0.8026,0.549,0,1.6442692920677e-63,FALSE,100392,100393,0.6154,0.8228,"",7.12040093434535e-63
V248,pass,0.5689,0.6821,0.1133,0.5582,0.5796,0.6734,0.6908,0.2013,0.1728,0.2991,0.7634,0.7912,0,3.10725633722356e-58,FALSE,100392,100393,0.6154,0.8228,"",1.08210745170443e-57
V249,pass,0.5665,0.6816,0.1151,0.5559,0.5771,0.6729,0.6903,0.1778,0.1603,0.3025,0.7916,0.7611,0,7.70276521851499e-61,FALSE,100392,100393,0.6154,0.8228,"",2.88419329234621e-60
V250,pass,0.5577,0.6846,0.1269,0.5475,0.5679,0.6762,0.6931,0.0578,0.0697,0.0517,0.6283,0.5,0,1.64429195618214e-78,FALSE,100392,100393,0.5947,0.7961,"",1.38789388843849e-77
V251,pass,0.5577,0.6846,0.127,0.5475,0.5679,0.6762,0.6931,0.0802,0.0881,0.0516,0.6283,0.5,0,1.38236993492497e-78,FALSE,100392,100393,0.5947,0.7961,"",1.25167314107751e-77
V252,pass,0.5675,0.6784,0.111,0.5568,0.5782,0.6699,0.687,0.1922,0.0861,0.3298,0.7463,0.5574,0,7.11834883276719e-57,FALSE,100392,100393,0.6154,0.8228,"",2.41152225763133e-56
V254,pass,0.5701,0.6786,0.1085,0.5593,0.5809,0.67,0.6872,0.2204,0.0901,0.3247,0.7147,0.3573,0,1.18299595011446e-53,FALSE,100392,100393,0.6154,0.8228,"",3.72868343770254e-53
V255,pass,0.5577,0.6846,0.1269,0.5475,0.5679,0.6762,0.6931,0.0977,0.0607,0.0517,0.6283,0.5,0,1.64429195618214e-78,FALSE,100392,100393,0.5947,0.7961,"",1.38789388843849e-77
V256,pass,0.5577,0.6846,0.127,0.5475,0.5679,0.6762,0.6931,0.1159,0.063,0.0516,0.6283,0.5,0,1.38236993492497e-78,FALSE,100392,100393,0.5947,0.7961,"",1.25167314107751e-77
V259,pass,0.5577,0.6846,0.1269,0.5475,0.5679,0.6762,0.6931,0.2456,0.2287,0.0517,0.6283,0.5,0,1.64429195618214e-78,FALSE,100392,100393,0.5947,0.7961,"",1.38789388843849e-77
V260,pass,0.5613,0.6781,0.1168,0.5509,0.5718,0.6695,0.6867,0.0739,0.0723,0.1455,0.6206,0.5714,0,2.27167179684708e-64,FALSE,100392,100393,0.6154,0.8228,"",1.02844777711804e-63
V261,pass,0.5513,0.6747,0.1234,0.5414,0.5612,0.6662,0.6831,0.1537,0.115,0.0426,0.587,0.5,0,8.87262156681948e-77,FALSE,100392,100393,0.6154,0.8228,"",6.5948739407106e-76
V262,pass,0.5515,0.6746,0.123,0.5416,0.5615,0.6661,0.683,0.1291,0.1056,0.0432,0.5871,0.5,0,3.0540731303569e-76,FALSE,100392,100393,0.6154,0.8228,"",2.1727548841682e-75
V267,pass,0.5553,0.6755,0.1202,0.5451,0.5654,0.667,0.684,0.0679,0.0243,0.0548,0.5877,1,0,9.84269049504208e-71,FALSE,100392,100393,0.6154,0.8228,"",5.38643941377028e-70
V279,pass,0.5873,0.5668,-0.0205,0.5782,0.5964,0.5589,0.5747,0.1787,0.1317,0.1752,0.0971,,0,0.000857338458050098,TRUE,100392,100393,1e-04,0,"",0.00100696828327582
V280,pass,0.6131,0.5718,-0.0413,0.6028,0.6233,0.5629,0.5806,0.2319,0.1434,0.2371,0.0873,1,0,2.13642385069276e-09,TRUE,100392,100393,1e-04,0,"",3.16648535013391e-09
V282,pass,0.5954,0.6434,0.048,0.5852,0.6055,0.6351,0.6516,0.1918,0.2878,0.1649,0.3187,1,0,5.82863565859206e-13,FALSE,100392,100393,0,4e-04,"",9.51691986222573e-13
V284,pass,0.5311,0.5155,-0.0156,0.5246,0.5376,0.5102,0.5209,0.0614,0.0308,0.048,0.0141,0.8286,0,0.000284355481450623,FALSE,100392,100393,1e-04,0,"",0.000342879006688645
V287,pass,0.5559,0.5086,-0.0473,0.5471,0.5647,0.5012,0.516,0.1146,0.0191,0.074,0.0021,,0,6.45382409947893e-16,TRUE,100392,100393,1e-04,0,"",1.09692982987731e-15
V288,pass,0.5408,0.5103,-0.0305,0.5328,0.5489,0.5033,0.5172,0.0815,0.02,0.0536,0.0114,0.4,0,1.70682456946306e-08,TRUE,100392,100393,0,4e-04,"",2.42856753026458e-08
V290,pass,0.5482,0.5403,-0.0079,0.5413,0.5551,0.5343,0.5463,0.0957,0.0806,0.131,0.0767,0.8696,0,0.0907309619962574,FALSE,100392,100393,1e-04,0,"",0.0967537881673152
V291,pass,0.5773,0.5447,-0.0326,0.5681,0.5866,0.5369,0.5525,0.165,0.1028,0.1263,0.042,,0,1.31555420881382e-07,TRUE,100392,100393,1e-04,0,"",1.80979556903117e-07
V292,pass,0.5768,0.5554,-0.0214,0.5684,0.5852,0.5483,0.5625,0.1573,0.1145,0.1748,0.0887,,0,0.000142383839960944,TRUE,100392,100393,1e-04,0,"",0.000174648158375739
V294,pass,0.6217,0.5949,-0.0268,0.6124,0.631,0.587,0.6028,0.2507,0.1868,0.367,0.2185,,0,1.52591327216267e-05,TRUE,100392,100393,1e-04,0,"",1.96866530968137e-05
V302,pass,0.5726,0.6849,0.1123,0.5625,0.5828,0.6765,0.6933,0.1447,0.3698,0.1232,0.636,0.3473,0,1.49618650498722e-62,FALSE,100392,100393,1e-04,0,"",6.10738425806257e-62
V303,pass,0.5675,0.689,0.1215,0.5577,0.5773,0.6806,0.6974,0.1657,0.3747,0.0745,0.6518,,0,2.19340731257709e-76,FALSE,100392,100393,1e-04,0,"",1.60634829656381e-75
V306,pass,0.5596,0.5447,-0.0149,0.5516,0.5676,0.5379,0.5516,0.1775,0.1307,0.1129,0.0598,,0,0.00581031812395509,FALSE,100392,100393,1e-04,0,"",0.00651697843632801
V308,pass,0.5993,0.5633,-0.0361,0.5896,0.6091,0.5548,0.5718,0.226,0.1427,0.1968,0.0799,1,0,5.02812577680434e-08,TRUE,100392,100393,1e-04,0,"",7.05353982210862e-08
V312,pass,0.5447,0.5174,-0.0273,0.5371,0.5523,0.5109,0.524,0.1172,0.0228,0.0679,0.0094,,0,9.59694950188633e-08,TRUE,100392,100393,1e-04,0,"",1.32757801442761e-07
V313,pass,0.5407,0.5107,-0.0301,0.5333,0.5482,0.5043,0.517,0.0843,0.0256,0.0576,0.0052,,0,1.77772457897556e-09,TRUE,100392,100393,0,4e-04,"",2.65061928242464e-09
V314,pass,0.5381,0.5111,-0.027,0.5307,0.5455,0.5048,0.5175,0.093,0.0156,0.0512,0.0055,,0,5.78575345551226e-08,TRUE,100392,100393,0,4e-04,"",8.07088297155491e-08
V315,pass,0.5383,0.5103,-0.028,0.5309,0.5457,0.504,0.5166,0.0924,0.0256,0.0517,0.005,,0,1.51588906461043e-08,TRUE,100392,100393,0,4e-04,"",2.16307379420055e-08
V317,pass,0.6093,0.5768,-0.0325,0.6003,0.6183,0.5693,0.5843,0.248,0.1871,0.3226,0.1586,,0,5.44920693679222e-08,TRUE,100392,100393,1e-04,0,"",7.62276700708575e-08
V35,pass,0.574,0.5798,0.0058,0.5632,0.5848,0.5695,0.5901,-0.1507,-0.2985,0.0958,0.2773,0.8,0,0.446100832421531,FALSE,100392,100393,0.4617,0.2464,"",0.457115667789964
V37,pass,0.548,0.4951,-0.0529,0.5385,0.5574,0.4877,0.5025,0.16,0.2267,0.0382,9e-04,0.5,0,6.13550455326542e-18,TRUE,100392,100393,0.4617,0.2464,"",1.07209869036006e-17
V38,pass,0.548,0.4951,-0.0529,0.5385,0.5574,0.4877,0.5025,0.2269,0.2741,0.0382,9e-04,0.5,0,6.13550455326542e-18,TRUE,100392,100393,0.4617,0.2464,"",1.07209869036006e-17
V39,pass,0.6105,0.702,0.0915,0.5991,0.6219,0.6928,0.7112,0.3102,0.4338,0.2782,0.6952,1,0,1.76714685372095e-34,FALSE,100392,100393,0.4617,0.2464,"",3.76085099638048e-34
V40,pass,0.6132,0.7019,0.0887,0.6018,0.6246,0.6927,0.7111,0.3254,0.4365,0.287,0.6944,1,0,1.54477884576988e-32,FALSE,100392,100393,0.4617,0.2464,"",3.2188278878385e-32
V41,pass,0.548,0.495,-0.053,0.5385,0.5574,0.4876,0.5024,0.0012,4e-04,0.0388,0.0012,0.5,0,5.79524625387308e-18,TRUE,100392,100393,0.4617,0.2464,"",1.019799517466e-17
V43,pass,0.6049,0.7002,0.0952,0.5934,0.6165,0.6909,0.7094,0.2973,0.4251,0.319,0.6968,0.9762,0,1.93472772285172e-36,FALSE,100392,100393,0.4617,0.2464,"",4.2258526578077e-36
V47,pass,0.5721,0.5297,-0.0425,0.5615,0.5827,0.5207,0.5386,0.1439,0.1239,0.2637,0.2071,0.8571,0,2.18729000676186e-09,TRUE,100392,100393,0.4617,0.2464,"",3.23225644916145e-09
V48,pass,0.65,0.6515,0.0015,0.6413,0.6587,0.6449,0.6581,-0.2931,-0.3282,0.4099,0.5518,0.9,0,0.781054688530634,FALSE,100392,100393,0.4617,0.2464,"",0.788976135675975
V5,pass,0.5595,0.6676,0.108,0.552,0.5671,0.659,0.6761,0.1169,0.0386,0.0888,0.5448,0.6429,0,2.61550628381e-76,FALSE,100392,100393,0.7124,0.2839,"",1.88771323092374e-75
V50,pass,0.6267,0.7026,0.0759,0.6154,0.638,0.6935,0.7117,0.3282,0.4285,0.3236,0.6876,0.9429,0,1.20884859495615e-24,FALSE,100392,100393,0.4617,0.2464,"",2.35158828237563e-24
V51,pass,0.6398,0.7026,0.0628,0.6284,0.6512,0.6934,0.7118,0.3749,0.4325,0.4411,0.7298,0.8286,0,4.47378548631671e-17,FALSE,100392,100393,0.4617,0.2464,"",7.79001808456546e-17
V52,pass,0.6411,0.7038,0.0627,0.6296,0.6525,0.6946,0.713,0.3822,0.4372,0.496,0.764,0.8571,0,5.92580142352561e-17,FALSE,100392,100393,0.4617,0.2464,"",1.02824010763615e-16
V95,pass,0.587,0.5683,-0.0187,0.578,0.5959,0.5606,0.576,0.1789,0.135,0.1882,0.1111,,0,0.0018960478900258,FALSE,100392,100393,0,7e-04,"",0.00219588802147174
V97,pass,0.589,0.5573,-0.0317,0.5795,0.5984,0.5491,0.5655,0.1908,0.1212,0.1594,0.0608,,0,7.22598981311797e-07,TRUE,100392,100393,0,7e-04,"",9.64756816872051e-07
V98,pass,0.52,0.5086,-0.0115,0.5145,0.5255,0.504,0.5132,0.04,0.0161,0.0281,0.0074,0.7714,0,0.00174798875592675,FALSE,100392,100393,0,7e-04,"",0.0020338747674101
V99,pass,0.5076,0.5667,0.0591,0.4994,0.5159,0.5592,0.5742,-0.0109,-0.1276,0.0025,0.0818,1,0,2.36466851666832e-25,FALSE,100392,100393,0,7e-04,"",4.61805851490518e-25
addr2,pass,0.6436,0.6565,0.013,0.634,0.6531,0.6483,0.6648,-0.1093,0.008,0.4829,0.5959,0.5,0,0.0439430812979238,FALSE,100392,100393,0.0908,0.1037,"",0.0473672175029568
card2,pass,0.613,0.5713,-0.0417,0.6022,0.6238,0.5615,0.5811,-0.0513,0.0216,0.1652,0.1289,0.7091,0,1.9543623979938e-08,TRUE,100392,100393,0.0135,0.0171,"",2.77285605185445e-08
card_amt_deviation_24h,pass,0.6077,0.5692,-0.0385,0.597,0.6183,0.5595,0.5789,0.1732,0.1079,0.1589,0.0895,0.7636,0,1.54227211913386e-07,TRUE,100392,100393,0.2035,0.2218,"",2.10425072692784e-07
