column,pooled_auc,dominant_segment,dominant_auc,measurable_in_dominant,segments_measurable,segments_total,min_segment_auc,max_segment_auc,gap_dominant,cmh_or,cmh_p,bd_p,strata_used,note,cmh_p_bh,bd_p_bh,segment_artefact,heterogeneous
id_22,0.673946511045075,W,,FALSE,2,5,0.509022556390977,0.510294117647059,,6.46844919786096,0.064665053844507,0.178694638861419,4,"",0.0784363153113927,0.255736638849575,TRUE,FALSE
id_23,0.5041499668679,W,,FALSE,4,5,0.507731639501438,0.515778644269957,,4.95168270757893,0.0156012588782483,0.615912045753529,4,"",0.0205403508849299,0.72513782726647,FALSE,FALSE
id_24,0.55600644080562,W,,FALSE,2,5,0.606869009584665,0.704147286821705,,Inf,0.112632707563417,,3,"",0.133528368242603,,TRUE,FALSE
id_25,0.58268696561925,W,,FALSE,2,5,0.544419642857143,0.584690799396682,,7.98807942039711,1.4127094598227e-06,0.0171118260046258,4,"",2.3425941675541e-06,0.0314594339623505,TRUE,TRUE
id_26,0.557637571157495,W,,FALSE,2,5,0.522058823529412,0.530751879699248,,9.73147157082158,7.34890028932241e-07,0.482054596194516,4,"",1.23423838192466e-06,0.606373939423628,TRUE,FALSE
id_27,0.502226081182558,W,,FALSE,4,5,0.506760786193672,0.515551563442557,,,,,0,fewer than two usable strata,,,FALSE,FALSE
id_28,0.589508527730965,W,,FALSE,4,5,0.567128263939067,0.601831447746884,,2.11363858007732,7.91881746102598e-38,0.288569065482891,4,"",2.25514149433566e-37,0.391863674150062,TRUE,FALSE
id_29,0.591331672968849,W,,FALSE,4,5,0.57621994107589,0.604843624161074,,2.21551903836866,8.89669691096825e-43,0.393303448229851,4,"",2.71038905892289e-42,0.513760997342232,TRUE,FALSE
id_30,0.582884362193066,W,,FALSE,3,5,0.622019226113673,0.809480089888832,,4.24259657896459,1.05900643339875e-51,0.0516933938475681,3,"",3.51214791836043e-51,0.0857966745108943,TRUE,FALSE
id_31,0.638295017867572,W,,FALSE,4,5,0.582951581975072,0.709576108987809,,3.10679256943037,2.58535818276629e-30,0.581818769100547,4,"",6.91187595800785e-30,0.695987142067331,TRUE,FALSE
